Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
775000,83.50%,80.38%,0.0100,22.39073980144494,0.6701,25874240,maxbp
776000,84.00%,80.39%,0.0100,23.630860140882284,0.6795,25875620,maxbp
777000,82.90%,80.39%,0.0100,23.23003687260143,0.6584,25877185,maxbp
778000,83.40%,80.40%,0.0100,23.55003023775407,0.6680,25878662,maxbp
779000,82.90%,80.40%,0.0100,23.57461010696434,0.6579,25879999,maxbp
780000,82.40%,80.40%,0.0100,23.48560871372385,0.6485,25881508,maxbp
781000,84.10%,80.41%,0.0100,22.778416630099425,0.6814,25882827,maxbp
782000,83.90%,80.41%,0.0100,23.16441163095359,0.6782,25884219,maxbp
783000,82.20%,80.41%,0.0100,22.54652435627501,0.6441,25885757,maxbp
784000,82.40%,80.42%,0.0100,22.685890560465975,0.6476,25887213,maxbp
785000,81.20%,80.42%,0.0100,23.570535463970288,0.6242,25888597,maxbp
786000,81.20%,80.42%,0.0100,23.92432271024563,0.6239,25889947,maxbp
787000,81.20%,80.42%,0.0100,24.224640141734252,0.6240,25891231,maxbp
788000,83.70%,80.43%,0.0100,24.306506217259695,0.6742,25892524,maxbp
789000,81.90%,80.43%,0.0100,24.23146951712177,0.6379,25894042,maxbp
790000,81.70%,80.43%,0.0100,23.874233415544275,0.6336,25895464,maxbp
791000,82.70%,80.43%,0.0100,23.282867720805115,0.6539,25896843,maxbp
792000,82.40%,80.44%,0.0100,23.595665764765354,0.6484,25898086,maxbp
793000,82.60%,80.44%,0.0100,23.025723854457226,0.6516,25899679,maxbp
794000,82.90%,80.44%,0.0100,23.049306968015536,0.6579,25901135,maxbp
795000,82.80%,80.44%,0.0100,21.62801225009693,0.6557,25902424,maxbp
796000,84.80%,80.45%,0.0100,21.968113405198128,0.6965,25903786,maxbp
797000,83.60%,80.45%,0.0100,22.757188059495725,0.6716,25905293,maxbp
798000,83.20%,80.46%,0.0100,23.2571298431878,0.6640,25906677,maxbp
799000,82.10%,80.46%,0.0100,23.166996639694496,0.6419,25908001,maxbp
800000,82.60%,80.46%,0.0100,22.863329468538126,0.6525,25909455,maxbp
801000,84.00%,80.47%,0.0100,22.54621505663389,0.6798,25910964,maxbp
802000,81.80%,80.47%,0.0100,22.835949523907512,0.6358,25912224,maxbp
803000,83.00%,80.47%,0.0100,22.16993609488407,0.6603,25913664,maxbp
804000,81.70%,80.47%,0.0100,22.40976345856577,0.6338,25915165,maxbp
805000,83.30%,80.47%,0.0100,24.740740083587202,0.6661,25916448,maxbp
806000,82.60%,80.48%,0.0100,24.694127203088286,0.6519,25917734,maxbp
807000,84.50%,80.48%,0.0100,24.817814753190135,0.6902,25919292,maxbp
808000,81.10%,80.48%,0.0100,24.622568237703028,0.6217,25920580,maxbp
809000,84.40%,80.49%,0.0100,24.58182665149621,0.6882,25921912,maxbp
810000,82.40%,80.49%,0.0100,23.91944505678162,0.6477,25923302,maxbp
811000,82.50%,80.49%,0.0100,23.266753821095158,0.6498,25924663,maxbp
812000,86.70%,80.50%,0.0100,23.459220470459456,0.7347,25925918,maxbp
813000,83.50%,80.50%,0.0100,22.73543981435913,0.6700,25927158,maxbp
814000,83.40%,80.51%,0.0100,22.87925348327438,0.6679,25928594,maxbp
815000,83.90%,80.51%,0.0100,23.978350205325896,0.6784,25930013,maxbp
816000,83.70%,80.52%,0.0100,24.528701262239167,0.6729,25931229,maxbp
817000,82.60%,80.52%,0.0100,25.069488673650127,0.6531,25932513,maxbp
818000,83.60%,80.53%,0.0100,25.411593792174028,0.6719,25933751,maxbp
819000,81.30%,80.53%,0.0100,25.10901139667146,0.6254,25935070,maxbp
820000,85.00%,80.53%,0.0100,24.526020759929693,0.7005,25936513,maxbp
821000,82.90%,80.53%,0.0100,23.81094395992336,0.6582,25937684,maxbp
822000,84.10%,80.54%,0.0100,23.99774813992562,0.6819,25939126,maxbp
823000,82.60%,80.54%,0.0100,23.347372158749465,0.6515,25940422,maxbp
824000,85.80%,80.55%,0.0100,23.277487995876154,0.7162,25941789,maxbp
825000,82.70%,80.55%,0.0100,23.60284612585871,0.6542,25943183,maxbp
826000,82.70%,80.56%,0.0100,23.706207933432637,0.6537,25944558,maxbp
827000,83.40%,80.56%,0.0100,24.169969020867246,0.6683,25946153,maxbp
